Case_num	Status	Date
1990224000	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990224000, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223990	Validation Error	My Case Status does not recognize the receipt number entered.
1990223980	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223980, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223970	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223970, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223960	Card Was Mailed To Me	On May 20, 2019, we mailed your new card for your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223960, to the address you gave us.  If you do not receive your card by June 4, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address.
1990223950	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223950, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223940	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223940, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223930	Card Was Delivered To Me By The Post Office	On May 28, 2019, the Post Office delivered your new card for Receipt Number YSC1990223930, to the address that you gave us.  The tracking number assigned is 9205590153708428255509.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223920	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223920, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223910	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223910, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223900	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223900, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223890	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223890, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223880	Notice Was Returned To USCIS Because The Post Office Could Not Deliver It	On April 17, 2019, the Post Office returned a notice we sent you for your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223880, because they could not deliver it. This could have a serious effect on your case. Please go to www.uscis.gov/e-request to request a copy of the notice immediately. If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223870	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223870, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223860	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223860, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223850	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223850, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223840	Card Was Mailed To Me	On May 20, 2019, we mailed your new card for your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223840, to the address you gave us.  If you do not receive your card by June 4, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address.
1990223830	Card Was Mailed To Me	On May 20, 2019, we mailed your new card for your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223830, to the address you gave us.  If you do not receive your card by June 4, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address.
1990223820	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223820, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223810	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223810, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223800	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223800, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223790	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223790, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223780	Case Was Received	On March 21, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223780, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 20, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223770	Case Was Approved	On May 29, 2019, we approved your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223770. We will mail your approval notice. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223760	Case Rejected Because I Sent An Incorrect Fee	On March 25, 2019, we rejected your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223760, because you sent us the incorrect fee.  We mailed your case back to you, including any supporting materials and the incorrect payment.  Please follow the instructions to resubmit your case.  If you do not receive your rejected case by April 24, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990223750	Case Was Approved	On May 29, 2019, we approved your Form I-765, Application for Employment Authorization, Receipt Number YSC1990223750. We will mail your approval notice. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
